name,symbol,price,market_cap,circulating_supply,total_supply,volume_24h,price_change_24h,link
SwarmNode.ai,snai,0.009198,9197233,999952309.218955,999952309.218955,1405347.0,-6.59921,https://www.coingecko.com/en/coins/swarmnode-ai
The Last Play,retire,0.0089574,8995360,999824026.867502,999824026.867502,891441.0,-6.94188,https://www.coingecko.com/en/coins/the-last-play
Chill House,chillhouse,0.00890209,8900396,998835476.473291,998835476.473291,1901111.0,8.78758,https://www.coingecko.com/en/coins/chill-house
YETI,yeti,0.01031661,8253289,799999949.39,799999949.39,8730.06,-0.44913,https://www.coingecko.com/en/coins/yeti-2
This will make ur monthly salary,salary,0.0081019,8092875,998984675.50694,998984675.50694,405907.0,-1.97516,https://www.coingecko.com/en/coins/this-will-make-ur-monthly-salary
ALLINDOGE,allindoge,0.00795089,8016542,999993528.657936,999993528.657936,153614.0,-11.82226,https://www.coingecko.com/en/coins/allindoge
catwifmask,mask,0.00781899,7818394,999973823.39,999973823.39,852747.0,4.72468,https://www.coingecko.com/en/coins/catwifmask
Mother Iggy,mother,0.00805965,7784515,965378555.16223,965378555.16223,379525.0,-1.28546,https://www.coingecko.com/en/coins/mother-iggy
Xavier: Renegade Angel,xavier,0.00772272,7759469,999888071.42,999888071.42,76245.0,3.6679,https://www.coingecko.com/en/coins/xavier-renegade-angel
AISM FAITH TOKEN,aism,0.00743552,7435147,999949167.521307,999949167.521307,90.16,1.41858,https://www.coingecko.com/en/coins/aism-faith-token
MAX,max,0.00742245,7415235,999680716.562026,999680716.562026,817655.0,13.58356,https://www.coingecko.com/en/coins/max-2
Cryptocurrency Coin,crypto,0.00736525,7387146,999975480.074868,999975480.074868,118133.0,-5.69836,https://www.coingecko.com/en/coins/cryptocurrency-coin
Retard Finder Coin,rfc,0.00718195,6915058,961433185.441498,999853069.408681,8423988.0,-1.4063,https://www.coingecko.com/en/coins/retard-finder-coin
PVS,pvs,0.00645165,6469978,999944404.39,999944404.39,440985.0,-9.20122,https://www.coingecko.com/en/coins/pvs
Karmacoin,karma,0.00641985,6420599,999988284.333037,999988284.333037,59798.0,4.83719,https://www.coingecko.com/en/coins/karmacoin-2
Polyfactual,polyfacts,0.00656813,6372725,999999782.410816,999999782.410816,47517303.0,375.20495,https://www.coingecko.com/en/coins/polyfactual
MITCH,idrawline,0.0059074,5914712,999999922.888952,999999922.888952,2019689.0,-19.04838,https://www.coingecko.com/en/coins/mitch
Eduvantage AI,eai,0.0050076,5442007,999634207.769426,999634207.769426,1270039.0,126.0808,https://www.coingecko.com/en/coins/eduvantage-ai
